iter	F1	Logloss	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
0	0.4837773121	0.6898654817	0.6867645035	0.4619422572	0.3734087694	0.3734087694
1	0.6247114659	0.6867305324	0.6263765986	0.396311291	0.6230551627	0.6230551627
2	0.6233337278	0.683744066	0.6257525617	0.3956737269	0.6209335219	0.6209335219
3	0.61954694	0.6811448595	0.6275559858	0.3975183824	0.6117397454	0.6117397454
4	0.6225372235	0.6784383558	0.6299720773	0.4	0.6152758133	0.6152758133
5	0.6305379267	0.6760430306	0.6295373136	0.3995525727	0.6315417256	0.6315417256
6	0.6297929837	0.6740593555	0.6287548889	0.3987483236	0.630834512	0.630834512
7	0.6316842845	0.6721380515	0.6290206439	0.3990213523	0.6343705799	0.6343705799
8	0.6316379208	0.6693844424	0.6296253824	0.3996431757	0.6336633663	0.6336633663
9	0.6410679846	0.6679633606	0.6291322631	0.3991360691	0.6534653465	0.6534653465
10	0.6400260271	0.6642340677	0.6317565626	0.4018404908	0.6485148515	0.6485148515
11	0.6548222169	0.6603051418	0.6354710357	0.4056924384	0.6753889675	0.6753889675
12	0.6609060335	0.6527490196	0.6412953877	0.4117898334	0.6817538897	0.6817538897
13	0.6618524522	0.6514629556	0.6405830869	0.4110403397	0.684582744	0.684582744
14	0.6586596769	0.6504065903	0.6446724406	0.4153577661	0.6732673267	0.6732673267
15	0.6578763268	0.6493233042	0.6425292006	0.4130905938	0.6739745403	0.6739745403
16	0.6553786144	0.6481935859	0.6409804628	0.4114583333	0.6704384724	0.6704384724
17	0.653358316	0.6470957919	0.6416629075	0.4121769601	0.6654879774	0.6654879774
18	0.6518794885	0.6463898803	0.6427758553	0.4133510168	0.6612446959	0.6612446959
19	0.658570466	0.6395811984	0.6445015382	0.4151766245	0.6732673267	0.6732673267
20	0.6653698773	0.6389588563	0.6446977671	0.4153846154	0.6874115983	0.6874115983
21	0.6661449213	0.6379790328	0.64244977	0.4130067568	0.6916548798	0.6916548798
22	0.6635145379	0.6370601495	0.644959959	0.4156626506	0.6831683168	0.6831683168
23	0.661333474	0.636440347	0.6465549522	0.417357174	0.6768033946	0.6768033946
24	0.6626850985	0.6359146328	0.6446539986	0.4153382163	0.6817538897	0.6817538897
25	0.6687536275	0.6350101626	0.6454729317	0.4162070429	0.6937765205	0.6937765205
26	0.6730198315	0.6341912222	0.6449220005	0.4156223893	0.7036775106	0.7036775106
27	0.672940356	0.632412362	0.6430049718	0.4135930377	0.7057991513	0.7057991513
28	0.6727694689	0.6297304264	0.64152467	0.4120313144	0.7072135785	0.7072135785
29	0.673832261	0.6292238377	0.6440467536	0.4146948941	0.7065063649	0.7065063649
30	0.6726494843	0.628446063	0.6466317694	0.4174389217	0.7008486563	0.7008486563
31	0.6728515265	0.627154778	0.6428427869	0.4134217067	0.7057991513	0.7057991513
32	0.6737552475	0.6246279916	0.6409966903	0.4114754098	0.7100424328	0.7100424328
33	0.6783658638	0.6238721856	0.6430214346	0.4136104319	0.7178217822	0.7178217822
34	0.680122275	0.6233094658	0.642784668	0.4133603239	0.7220650636	0.7220650636
35	0.679153838	0.6228078378	0.642175809	0.4127176995	0.7206506365	0.7206506365
36	0.6790709751	0.6219678361	0.6431544713	0.4137510171	0.7192362093	0.7192362093
37	0.6776609308	0.621165984	0.6434611948	0.4140752864	0.7157001414	0.7157001414
38	0.6783658638	0.6205594684	0.6430214346	0.4136104319	0.7178217822	0.7178217822
39	0.6811784684	0.6189838022	0.6435507864	0.4141700405	0.7234794908	0.7234794908
40	0.6797712083	0.6184818691	0.6427181827	0.4132901135	0.7213578501	0.7213578501
41	0.6801379751	0.6178474259	0.6450713971	0.4157808667	0.7192362093	0.7192362093
42	0.6804815394	0.6172781756	0.6439893744	0.4146341463	0.7213578501	0.7213578501
43	0.6828567216	0.6164478292	0.6454278293	0.4161591555	0.724893918	0.724893918
44	0.6837560764	0.6158201627	0.6476011445	0.4184715979	0.7241867044	0.7241867044
45	0.6836741225	0.6152910092	0.6480204607	0.4189189189	0.7234794908	0.7234794908
46	0.6841295888	0.6147444064	0.6494092225	0.4204031263	0.7227722772	0.7227722772
47	0.6888790741	0.6140190658	0.6522680107	0.4234714813	0.729844413	0.729844413
48	0.6875424534	0.6136316999	0.6504372654	0.4215044971	0.7291371994	0.7291371994
49	0.6897402838	0.6129816122	0.652120648	0.4233128834	0.7319660537	0.7319660537
50	0.6903288803	0.6126271318	0.6514934895	0.4226384365	0.7340876945	0.7340876945
51	0.6890464545	0.6120632996	0.6520038539	0.4231872184	0.7305516266	0.7305516266
52	0.690973267	0.6112150896	0.6532023004	0.4244781007	0.7333804809	0.7333804809
53	0.6906557304	0.6106433442	0.6543244014	0.4256895842	0.7312588402	0.7312588402
54	0.689870855	0.6101997605	0.6540486299	0.4253915911	0.729844413	0.729844413
55	0.6922217258	0.6098796311	0.6548734478	0.4262833676	0.7340876945	0.7340876945
56	0.6924768745	0.6094551127	0.654767736	0.426168991	0.7347949081	0.7347949081
57	0.6926576462	0.6089249931	0.6550910506	0.4265188834	0.7347949081	0.7347949081
58	0.6934722879	0.6086875543	0.6565499264	0.4281005356	0.7347949081	0.7347949081
59	0.6927644468	0.6083721711	0.6558456012	0.4273363524	0.7340876945	0.7340876945
60	0.6932005278	0.6077765111	0.656062913	0.4275720165	0.7347949081	0.7347949081
61	0.6922375889	0.607294223	0.65546574	0.4269246604	0.7333804809	0.7333804809
62	0.692912451	0.6069218182	0.654985161	0.426404264	0.7355021216	0.7355021216
63	0.6921313549	0.6067025516	0.6547117023	0.4261083744	0.7340876945	0.7340876945
64	0.6941446915	0.606376069	0.6560655596	0.4275748872	0.7369165488	0.7369165488
65	0.6945613752	0.6058635418	0.6556908322	0.4271685761	0.738330976	0.738330976
66	0.6945432813	0.6054899984	0.6551018848	0.4265306122	0.7390381895	0.7390381895
67	0.6975453893	0.6049257103	0.6582210315	0.4299180328	0.7418670438	0.7418670438
68	0.6975243726	0.6045792164	0.6576279411	0.4292722813	0.7425742574	0.7425742574
69	0.6965879784	0.6043741112	0.6576297896	0.4292742927	0.7404526167	0.7404526167
70	0.6971122038	0.6040722669	0.6580064391	0.4296842968	0.7411598303	0.7411598303
71	0.6981816798	0.6037607729	0.6593550904	0.4311549527	0.7418670438	0.7418670438
72	0.6979088418	0.6034224621	0.658868587	0.4306239737	0.7418670438	0.7418670438
73	0.6981383991	0.6018203848	0.6581648694	0.4298568507	0.743281471	0.743281471
74	0.6986836076	0.6012221555	0.659134663	0.4309143091	0.743281471	0.743281471
75	0.6983418441	0.6010454341	0.6590827144	0.4308576118	0.7425742574	0.7425742574
76	0.6989341255	0.6008830433	0.6590248187	0.4307944308	0.7439886846	0.7439886846
77	0.6991160083	0.6005018176	0.6593483027	0.431147541	0.7439886846	0.7439886846
78	0.6998444872	0.5998645615	0.6606454208	0.4325657895	0.7439886846	0.7439886846
79	0.6994118782	0.5996949554	0.6604321756	0.4323323735	0.743281471	0.743281471
80	0.6999356538	0.5993313689	0.6608079195	0.4327437269	0.7439886846	0.7439886846
81	0.7008243207	0.598946361	0.661834292	0.433868974	0.7446958982	0.7446958982
82	0.700800061	0.598636196	0.661233508	0.4332100288	0.7454031117	0.7454031117
83	0.7016132818	0.5974312818	0.6604630506	0.4323661626	0.7482319661	0.7482319661
84	0.7009581717	0.5970311808	0.6609590919	0.4329093147	0.7461103253	0.7461103253
85	0.7005457094	0.5964127164	0.6591224119	0.4309009376	0.7475247525	0.7475247525
86	0.70138958	0.595926626	0.6611713686	0.4331419196	0.7468175389	0.7468175389
87	0.7011160541	0.5956063885	0.6606854225	0.4326095862	0.7468175389	0.7468175389
88	0.7012072057	0.5953830747	0.6608473251	0.4327868852	0.7468175389	0.7468175389
89	0.7023171251	0.5951586294	0.6611594293	0.4331288344	0.7489391796	0.7489391796
90	0.702864711	0.5946757506	0.6621306706	0.4341943419	0.7489391796	0.7489391796
91	0.7032302429	0.5943180337	0.6627797516	0.4349075975	0.7489391796	0.7489391796
92	0.7038436205	0.5940138911	0.6633155883	0.4354971241	0.7496463932	0.7496463932
93	0.7045484985	0.593651659	0.6640139672	0.4362664474	0.7503536068	0.7503536068
94	0.7037521287	0.593216715	0.6631530895	0.4353182752	0.7496463932	0.7496463932
95	0.7037521287	0.5928592599	0.6631530895	0.4353182752	0.7496463932	0.7496463932
96	0.7038708393	0.5925380905	0.6639187108	0.4361614498	0.7489391796	0.7489391796
97	0.7049717242	0.592191306	0.6658803463	0.4383278146	0.7489391796	0.7489391796
98	0.7056784643	0.5919489312	0.6665823698	0.4391052196	0.7496463932	0.7496463932
99	0.7059878027	0.5915607759	0.6660183916	0.4384805945	0.7510608204	0.7510608204
100	0.7061716278	0.5913953132	0.6663456669	0.4388429752	0.7510608204	0.7510608204
101	0.7074916166	0.5912179345	0.6675829234	0.4402151427	0.7524752475	0.7524752475
102	0.7069696865	0.5907279907	0.6672101957	0.4398014067	0.7517680339	0.7517680339
103	0.7071233801	0.5903621759	0.6669274966	0.439487815	0.7524752475	0.7524752475
104	0.7084109452	0.5901991978	0.6675526422	0.4401815182	0.7545968883	0.7545968883
105	0.7062635763	0.5898094473	0.6665094252	0.4390243902	0.7510608204	0.7510608204
106	0.706233991	0.5894559982	0.6659008603	0.4383505155	0.7517680339	0.7517680339
107	0.7073995215	0.5893112942	0.6674189459	0.4400330852	0.7524752475	0.7524752475
108	0.7078602368	0.5890589819	0.6682396396	0.4409448819	0.7524752475	0.7524752475
109	0.7091808712	0.5888252956	0.6694780304	0.4423236515	0.7538896747	0.7538896747
110	0.7075533737	0.5885665359	0.6688105217	0.4415800416	0.7510608204	0.7510608204
111	0.7073996084	0.588341426	0.6690971372	0.4418992087	0.7503536068	0.7503536068
112	0.7094311675	0.5880300805	0.6710451586	0.4440734558	0.7524752475	0.7524752475
